"NAME","NATIONALITY"
"antonio caldara","List_of_Italians"
"giacomo carissimi","List_of_Italians"
"francesco cavalli","List_of_Italians"
"antonio cesti","List_of_Italians"
"arcangelo corelli","List_of_Italians"
"girolamo frescobaldi","List_of_Italians"
"francesco geminiani","List_of_Italians"
"leonardo leo","List_of_Italians"
"pietro locatelli","List_of_Italians"
"jean baptiste lully","List_of_Italians"
"giovanni battista pergolesi","List_of_Italians"
"nicola porpora","List_of_Italians"
"alessandro scarlatti","List_of_Italians"
"domenico scarlatti","List_of_Italians"
"barbara strozzi","List_of_Italians"
"giuseppe tartini","List_of_Italians"
"giuseppe torelli","List_of_Italians"
"antonio vivaldi","List_of_Italians"
"domenico zipoli","List_of_Italians"
"luigi boccherini","List_of_Italians"
"ferdinando carulli","List_of_Italians"
"domenico cimarosa","List_of_Italians"
"baldassare galuppi","List_of_Italians"
"mauro giuliani","List_of_Italians"
"niccolò jommelli","List_of_Italians"
"giovanni battista martini","List_of_Italians"
"giovanni paisiello","List_of_Italians"
"niccolò piccinni","List_of_Italians"
"antonio salieri","List_of_Italians"
"giovanni battista sammartini","List_of_Italians"
"giovanni battista viotti","List_of_Italians"
"vincenzo bellini","List_of_Italians"
"arrigo boito","List_of_Italians"
"alfredo catalani","List_of_Italians"
"luigi cherubini","List_of_Italians"
"muzio clementi","List_of_Italians"
"gaetano donizetti","List_of_Italians"
"ruggero leoncavallo","List_of_Italians"
"pietro mascagni","List_of_Italians"
"saverio mercadante","List_of_Italians"
"niccolò paganini","List_of_Italians"
"amilcare ponchielli","List_of_Italians"
"gioachino rossini","List_of_Italians"
"gaspare spontini","List_of_Italians"
"giuseppe verdi","List_of_Italians"
"luciano berio","List_of_Italians"
"ferruccio busoni","List_of_Italians"
"mario castelnuovotedesco","List_of_Italians"
"vito carnevali","List_of_Italians"
"francesco cilea","List_of_Italians"
"luigi dallapiccola","List_of_Italians"
"lorenzo ferrero","List_of_Italians"
"umberto giordano","List_of_Italians"
"pietro mascagni","List_of_Italians"
"ennio morricone","List_of_Italians"
"luigi nono","List_of_Italians"
"goffredo petrassi","List_of_Italians"
"giacomo puccini","List_of_Italians"
"ottorino respighi","List_of_Italians"
"nino rota","List_of_Italians"
"john serry sr.","List_of_Italians"
"claudio abbado","List_of_Italians"
"ferruccio busoni","List_of_Italians"
"riccardo chailly","List_of_Italians"
"victor de sabata","List_of_Italians"
"daniele gatti","List_of_Italians"
"carlo maria giulini","List_of_Italians"
"fabio luisi","List_of_Italians"
"riccardo muti","List_of_Italians"
"claudio scimone","List_of_Italians"
"tullio serafin","List_of_Italians"
"giuseppe sinopoli","List_of_Italians"
"arturo toscanini","List_of_Italians"
"franco battiato","List_of_Italians"
"lucio battisti","List_of_Italians"
"alessandra belloni","List_of_Italians"
"edoardo bennato","List_of_Italians"
"eugenio bennato","List_of_Italians"
"loredana bertè","List_of_Italians"
"carla bissi","List_of_Italians"
"angelo branduardi","List_of_Italians"
"fred buscaglione","List_of_Italians"
"andrea caccese","List_of_Italians"
"renato carosone","List_of_Italians"
"adriano celentano","List_of_Italians"
"paolo conte","List_of_Italians"
"lucio dalla","List_of_Italians"
"francesco de gregori","List_of_Italians"
"pino daniele","List_of_Italians"
"fabrizio de andré","List_of_Italians"
"manuel de peppe","List_of_Italians"
"teresa de sio","List_of_Italians"
"eugenio finardi","List_of_Italians"
"ivano fossati","List_of_Italians"
"francesco guccini","List_of_Italians"
"rino gaetano","List_of_Italians"
"bruno lauzi","List_of_Italians"
"luciano ligabue","List_of_Italians"
"fiorella mannoia","List_of_Italians"
"mia martini","List_of_Italians"
